tissue	phecode	beta	p-value	gene	trait	r2	OR	no of cases	no of controls
Heart_Atrial_Appendage	X732	-3.92129	9.74072e-6	TPD52L1	Osteochondropathies	2.57241e-2	5.41908e-1	34	19040
Adipose_Visceral_Omentum	X442.2	4.24833	9.80134e-6	PIK3C3	Aneurysm of iliac artery	3.04874e-2	2.43398e+0	24	16965
Nerve_Tibial	X735.1	-1.81605	9.89167e-6	ST3GAL1	Flat foot	1.51725e-1	5.72260e-1	55	20000
Whole_Blood	X475	-0.238655	9.93686e-6	CNR1	Chronic sinusitis	4.39328e-1	8.73678e-1	1201	16459
Skin_Sun_Exposed_Lower_leg	X755.1	-4.97927	9.96313e-6	POLE2	Congenital deformities of feet	8.48717e-3	5.81868e-1	31	22558
Pancreas	X381.11	-1.14473	1.00289e-5	TCTN3	Suppurative and unspecified otitis media	3.37092e-2	8.04190e-1	375	20771
Skin_Not_Sun_Exposed_Suprapubic	X764	-2.19759	1.00425e-5	RRM2B	Sciatica	3.01832e-2	7.94438e-1	357	20431
Artery_Aorta	X758	0.877677	1.01018e-5	LEPROTL1	Chromosomal anomalies and genetic disorders	3.06583e-1	1.43075e+0	68	22639
Brain_Hypothalamus	X573	0.489388	1.01948e-5	DCBLD2	Other disorders of liver	1.11020e-1	1.20813e+0	549	16784
Artery_Aorta	X442	0.8497	1.02013e-5	COMT	Other aneurysm	1.38902e-1	1.21247e+0	913	16965
Cells_Transformed_fibroblasts	X802	1.94099	1.02212e-5	DNAH1	Fracture of pelvis	1.01117e-2	1.33707e+0	229	19279
Thyroid	X690	1.67778	1.02274e-5	CWH43	Erythematosquamous dermatosis	6.75064e-2	1.36788e+0	219	19985
Cells_Transformed_fibroblasts	X781.2	1.43773	1.02736e-5	GALNT12	Abnormal posture	6.87133e-2	1.53817e+0	101	22539
Skin_Sun_Exposed_Lower_leg	X634	2.62835	1.03028e-5	USP31	Miscarriage; stillbirth	1.93164e-2	1.76249e+0	47	11199
Artery_Tibial	X754.2	-4.92566	1.03419e-5	SNX17	Spondylolisthesis, congenital	1.22069e-2	6.74439e-1	44	22558
Cells_Transformed_fibroblasts	X318	0.775785	1.03780e-5	MEGF9	Tobacco use disorder	5.22908e-2	1.10299e+0	2152	18353
Brain_Cortex	X381	-0.48278	1.04153e-5	TCTN3	Otitis media and Eustachian tube disorders	1.19237e-1	8.59293e-1	945	20771
Artery_Aorta	X415.11	0.61585	1.04608e-5	WRAP73	Pulmonary embolism and infarction, acute	1.30980e-1	1.20943e+0	558	16541
Heart_Atrial_Appendage	X362.29	-1.89185	1.04855e-5	TPD52L1	Macular degeneration (senile) of retina NOS	2.57241e-2	7.44099e-1	193	20111
Esophagus_Muscularis	X444.1	-3.73313	1.05531e-5	NTSR1	Arterial embolism and thrombosis of lower extremity artery	2.36190e-2	6.54884e-1	119	16965
Whole_Blood	X766	-0.749403	1.05630e-5	CCDC114	Neuralgia, neuritis, and radiculitis NOS	1.52275e-1	8.38686e-1	611	20431
Brain_Frontal_Cortex_BA9	X624	2.54212	1.06263e-5	ADAP1	Symptoms involving female genital tract	8.83253e-2	1.52281e+0	59	9949
Lung	X286.81	2.26553	1.06544e-5	SCYL3	Primary hypercoagulable state	2.21355e-2	1.38483e+0	175	15873
Lung	X733.6	3.35141	1.07636e-5	LIN7B	Costochondritis	6.40552e-2	1.73046e+0	20	19040
Brain_Hippocampus	X871.2	-1.21349	1.07896e-5	EIF2AK1	Open wound of finger(s)	1.08066e-1	6.72589e-1	117	19977
Adipose_Visceral_Omentum	X272.13	0.615593	1.08809e-5	TMED2	Mixed hyperlipidemia	5.14737e-2	1.08450e+0	4539	11294
Adrenal_Gland	X783	0.559393	1.09451e-5	NEK11	Fever of unknown origin	6.52853e-2	1.08227e+0	3936	17109
Heart_Atrial_Appendage	X495.1	1.55274	1.09895e-5	MYOM2	Chronic obstructive asthma	3.64346e-2	1.32824e+0	263	17383
Brain_Caudate_basal_ganglia	X610.3	-1.85031	1.10611e-5	POLR2J	Fibrosclerosis of breast	1.54863e-1	5.13906e-1	29	9098
Adipose_Subcutaneous	X593.1	1.84713	1.10931e-5	IL20RA	Gross hematuria	2.65219e-2	1.25542e+0	203	16050
Nerve_Tibial	X323.8	-3.52423	1.11531e-5	CMAS	Encephalitis, non-infectious	3.38287e-2	5.28490e-1	39	22760
Heart_Left_Ventricle	X331.9	-2.27589	1.12695e-5	GLRX2	Cerebral degeneration, unspecified	2.00512e-2	7.04532e-1	149	17257
Muscle_Skeletal	X972.1	-2.30107	1.13591e-5	ZNF343	Cardiac rhythm regulators causing adverse effects in therapeutic use	7.20971e-2	7.47932e-1	21	17731
Heart_Atrial_Appendage	X495	0.655825	1.15087e-5	MYOM2	Asthma	3.64346e-2	1.12737e+0	1531	17383
Colon_Transverse	X292.3	-0.836914	1.15238e-5	CEP72	Memory loss	8.59897e-2	8.31045e-1	584	17533
Skin_Not_Sun_Exposed_Suprapubic	X840.1	-2.03332	1.15402e-5	CUL7	Muscle/tendon sprain	1.09771e-1	6.59637e-1	47	20163
Whole_Blood	X695.41	1.49118	1.15612e-5	ST8SIA1	Cutaneous lupus erythematosus	8.28132e-2	1.47031e+0	54	19768
Esophagus_Gastroesophageal_Junction	X249	-1.4281	1.16144e-5	POLR2E	Secondary diabetes mellitus	1.00085e-1	6.87521e-1	166	13897
Skin_Sun_Exposed_Lower_leg	X279.11	-2.35128	1.16662e-5	RANGAP1	Deficiency of humoral immunity	2.04151e-2	7.41410e-1	87	20961
Prostate	X530	0.202018	1.18063e-5	LEPROTL1	Diseases of esophagus	1.49632e-1	1.07205e+0	5446	13499
Testis	X472	0.670779	1.19113e-5	BTNL8	Chronic pharyngitis and nasopharyngitis	5.06873e-1	1.20988e+0	547	16459
Artery_Coronary	X340.1	-4.53881	1.19157e-5	RNF7	Migrain with aura	3.44411e-2	7.10875e-1	134	21737
Vagina	X758	1.88557	1.19354e-5	LEPROTL1	Chromosomal anomalies and genetic disorders	1.49563e-1	1.47501e+0	68	22639
Cells_Transformed_fibroblasts	X446	-1.22796	1.19921e-5	CYBA	Polyarteritis nodosa and allied conditions	3.97824e-2	7.50742e-1	226	16965
Muscle_Skeletal	X253	2.30167	1.19959e-5	FAM98A	Disorders of the pituitary gland and its hypothalamic control	2.01117e-2	1.28830e+0	300	19664
Breast_Mammary_Tissue	X385.3	-4.22227	1.21011e-5	RANGAP1	Cholesteatoma	2.10340e-2	7.63866e-1	58	20771
Skin_Not_Sun_Exposed_Suprapubic	X568	9.72484	1.21716e-5	MMP25	Other disorders of peritoneum	2.12076e-2	1.20852e+0	326	19195
Skin_Sun_Exposed_Lower_leg	X568	1.43363	1.21716e-5	MMP25	Other disorders of peritoneum	5.03411e-2	1.20852e+0	326	19195
Colon_Transverse	X270.3	0.545343	1.24513e-5	MRPS10	Disorders of plasma protein metabolism	2.58645e-1	1.28749e+0	353	21469
Esophagus_Mucosa	X960.2	-3.2006	1.25370e-5	SPTLC1	Allergy/adverse effect of penicillin	2.87270e-2	6.47359e-1	116	17731
Nerve_Tibial	X189.11	0.555276	1.25445e-5	DNAH7	Malignant neoplasm of kidney, except pelvis	2.18522e-1	1.25256e+0	460	22100
Esophagus_Muscularis	X425.8	6.8237	1.25829e-5	GRPEL1	Other cardiomyopathy	2.75710e-2	1.67785e+0	49	19395
Brain_Cortex	X709.6	1.58418	1.25856e-5	ARHGEF26	Other specified diffuse diseases of connective tissue	8.20071e-2	1.69904e+0	73	19689
Brain_Putamen_basal_ganglia	X766	-1.04518	1.26172e-5	CCDC114	Neuralgia, neuritis, and radiculitis NOS	9.68727e-2	8.38405e-1	611	20431
Adipose_Subcutaneous	X274.11	1.57119	1.27821e-5	SLC2A9	Gouty arthropathy	5.80881e-2	1.28098e+0	330	21410
Ovary	X270.3	0.546702	1.27967e-5	MRPS10	Disorders of plasma protein metabolism	3.07292e-1	1.27479e+0	353	21469
Adipose_Subcutaneous	X766	-1.3584	1.28664e-5	CCDC114	Neuralgia, neuritis, and radiculitis NOS	6.70422e-2	8.40187e-1	611	20431
Muscle_Skeletal	X597.1	47.5022	1.28673e-5	GPD2	Urethral stricture (not specified as infectious)	9.31909e-3	1.22473e+0	112	20575
Pancreas	X427.3	-0.999614	1.29431e-5	TACR2	Other specified cardiac dysrhythmias	8.65602e-2	8.90579e-1	1754	10731
Brain_Cerebellum	X733.6	4.63678	1.29713e-5	LIN7B	Costochondritis	9.91511e-2	1.86372e+0	20	19040
Uterus	X286.5	-1.42954	1.32461e-5	NSL1	Hemorrhagic disorder due to intrinsic circulating anticoagulants	7.25504e-2	7.73030e-1	222	15873
Whole_Blood	X110.13	8.29948	1.33250e-5	DIDO1	Dermatophytosis of the body	8.88176e-3	1.63332e+0	70	19642
Muscle_Skeletal	X338.1	0.329748	1.33573e-5	POMC	Acute pain	2.11802e-1	1.10529e+0	1738	19029
Skin_Not_Sun_Exposed_Suprapubic	X700	5.24106	1.34599e-5	SCD	Corns and callosities	6.33585e-2	1.38037e+0	145	20618
Stomach	X189.11	0.862779	1.34681e-5	DNAH7	Malignant neoplasm of kidney, except pelvis	1.29003e-1	1.25040e+0	460	22100
Esophagus_Muscularis	X249	-1.14621	1.36669e-5	POLR2E	Secondary diabetes mellitus	2.59655e-1	6.65361e-1	166	13897
Adipose_Visceral_Omentum	X593.1	1.39587	1.36851e-5	IL20RA	Gross hematuria	1.16118e-1	1.25611e+0	203	16050
Lung	X364.5	-2.19175	1.37357e-5	RNF126	Corneal dystrophy	3.18120e-2	6.24458e-1	66	20443
Colon_Sigmoid	X758.1	1.76324	1.37391e-5	SYPL1	Chromosomal anomalies	5.11367e-2	1.83516e+0	45	22639
Uterus	X189.12	-1.2955	1.38360e-5	CAPG	Malignant neoplasm of renal pelvis	1.12834e-1	7.12451e-1	110	22100
Heart_Atrial_Appendage	X526	-0.840739	1.39176e-5	MEGF9	Diseases of the jaws	2.81073e-2	7.69042e-1	269	21330
Pancreas	X738.4	1.45156	1.39669e-5	HSPB1	Acquired spondylolisthesis	4.22903e-2	1.30212e+0	274	20000
Artery_Coronary	X790.8	85.181	1.42170e-5	GCNT2	Elevated C-reactive protein (CRP)	3.67770e-2	1.11134e+0	108	19934
Esophagus_Muscularis	X531.5	2.09922	1.42498e-5	GOLGA3	Gastrojejunal ulcer	1.48577e-1	2.11536e+0	23	21823
Heart_Left_Ventricle	X288.11	-0.884902	1.42569e-5	B4GALT1	Neutropenia	2.83619e-2	8.71821e-1	844	16202
Artery_Coronary	X189.1	65.6541	1.43163e-5	GCNT2	Cancer of kidney and renal pelvis	3.67770e-2	1.08477e+0	517	22100
Lung	X286.12	3.40556	1.43279e-5	SCYL3	Congenital deficiency of other clotting factors (including factor VII)	2.21355e-2	1.63136e+0	72	15873
Esophagus_Gastroesophageal_Junction	X198.4	0.530598	1.43554e-5	BTN3A1	Secondary malignant neoplasm of liver	1.14821e-1	1.18874e+0	629	17297
Esophagus_Muscularis	X184	1.3301	1.44088e-5	STIM2	Cancer of other female genital organs	6.07130e-2	1.35436e+0	219	9624
Prostate	X41.12	16.6445	1.47059e-5	TNPO2	Methicillin resistant Staphylococcus aureus	7.93463e-2	1.18768e+0	392	18352
Colon_Transverse	X564.1	0.439929	1.47578e-5	TBC1D13	Irritable Bowel Syndrome	6.30303e-2	1.21529e+0	534	16064
Pancreas	X507	-3.23278	1.48097e-5	PIGQ	Pleurisy; pleural effusion	3.82187e-2	9.22867e-1	3671	13235
Cells_Transformed_fibroblasts	X523.32	2.58961	1.48275e-5	ST6GAL1	Chronic periodontitis	2.11266e-1	2.42403e+0	24	21330
Heart_Left_Ventricle	X727.8	-4.88158	1.49707e-5	SELE	Plica syndrome	3.27613e-2	4.37238e-1	22	17625
Thyroid	X585.4	1.05929	1.50786e-5	CEP41	Chronic kidney disease, Stage I or II	7.98093e-2	1.19557e+0	507	15383
Brain_Caudate_basal_ganglia	X164	-3.40022	1.51888e-5	ACTR3C	Cancer of intrathoracic organs	2.04468e-1	5.92475e-1	37	22045
Cells_EBV-transformed_lymphocytes	X117.4	-1.67549	1.51964e-5	SLC29A1	Aspergillosis	3.94794e-2	5.79772e-1	56	19642
Artery_Tibial	X364.1	-4.22954	1.53580e-5	LILRB1	Corneal opacity	4.16369e-2	6.38439e-1	83	20443
Testis	X568	-1.54392	1.54200e-5	MDGA1	Other disorders of peritoneum	8.70855e-2	7.80837e-1	326	19195
Nerve_Tibial	X960	-2.26654	1.54303e-5	DVL2	Poisoning by antibiotics	8.53968e-3	8.72115e-1	1085	17731
Brain_Frontal_Cortex_BA9	X359	-0.403181	1.54591e-5	PCDHB14	Muscular dystrophies and other myopathies	6.34196e-2	8.34161e-1	638	20339
Lung	X446.3	-6.3874	1.55004e-5	RAP1GAP	Hypersensitivity angiitis	3.75441e-2	4.49267e-1	28	16965
Artery_Tibial	X536	-0.721164	1.55219e-5	TIMM21	Disorders of function of stomach	1.01784e-1	8.44480e-1	564	19809
Heart_Left_Ventricle	X619.4	1.74642	1.56066e-5	CLDN15	Noninflammatory disorders of vagina	9.92278e-2	1.41544e+0	119	10520
Thyroid	X117.4	3.11188	1.56780e-5	MTRF1	Aspergillosis	5.38627e-2	1.75975e+0	56	19642
Adipose_Subcutaneous	X509.5	-1.53283	1.56879e-5	COMT	Respiratory arrest	3.98870e-2	7.04206e-1	42	13235
Brain_Anterior_cingulate_cortex_BA24	X818.1	1.86914	1.57483e-5	SOX6	Subdural hemorrhage (injury)	9.62478e-2	1.33062e+0	128	22261
Artery_Tibial	X694	1.07803	1.57534e-5	IFI35	Dyschromia and Vitiligo	1.62306e-2	1.26362e+0	305	19985
Heart_Atrial_Appendage	X286	0.588008	1.58509e-5	DNAH7	Coagulation defects	7.36357e-2	1.11181e+0	1627	15873
Esophagus_Gastroesophageal_Junction	X749.2	-2.61258	1.59070e-5	ZFYVE21	Congenital anomalies of skull and face bones	8.09577e-2	5.96079e-1	26	22997
Thyroid	X870	0.418286	1.59332e-5	HMGXB3	Open wounds of head; neck; and trunk	1.45402e-1	1.15564e+0	786	19977
Testis	X395.1	1.24399	1.59632e-5	NIT2	Nonrheumatic mitral valve disorders	1.76869e-2	1.11676e+0	1852	16709
Artery_Coronary	X642.1	0.838415	1.60004e-5	GRAMD1A	Preeclampsia and eclampsia	1.33175e-1	1.66396e+0	58	11398
Thyroid	X733.6	4.25099	1.60277e-5	LIN7B	Costochondritis	4.66925e-2	1.72970e+0	20	19040
Skin_Not_Sun_Exposed_Suprapubic	X327.7	1.57396	1.60655e-5	RNH1	Sleep related movement disorders	3.78801e-2	1.24511e+0	366	17464
Skin_Sun_Exposed_Lower_leg	X389.4	-1.63806	1.60815e-5	BTN2A1	Tinnitus	1.55102e-2	7.57118e-1	296	20203
Adrenal_Gland	X277.51	1.63455	1.60964e-5	MEGF9	Lipoprotein disorders	5.75471e-2	2.06130e+0	30	22192
Colon_Transverse	X245.2	1.50787	1.61021e-5	ZNF184	Chronic thyroiditis	7.50650e-2	1.46198e+0	127	17866
Esophagus_Mucosa	X565.1	-2.08727	1.61764e-5	RASIP1	Anal and rectal polyp	2.20531e-1	4.88360e-1	39	19195
Nerve_Tibial	X758	-3.00928	1.61803e-5	EIF3D	Chromosomal anomalies and genetic disorders	1.47191e-2	6.90165e-1	68	22639
Pituitary	X766	-0.435143	1.62324e-5	CCDC114	Neuralgia, neuritis, and radiculitis NOS	3.72492e-1	8.41632e-1	611	20431
Artery_Tibial	X286.8	35.2942	1.62535e-5	NUCB2	Hypercoagulable state	1.22464e-2	1.39774e+0	197	15873
Cells_Transformed_fibroblasts	X441	1.01814	1.62737e-5	FOXRED2	Vascular insufficiency of intestine	8.18253e-2	1.28633e+0	168	16965
Breast_Mammary_Tissue	X627	0.34207	1.64817e-5	BCAT1	Menopausal and postmenopausal disorders	6.09758e-2	1.12368e+0	1590	7985
Brain_Nucleus_accumbens_basal_ganglia	X614.3	-2.80159	1.65494e-5	ESRRB	Pelvic inflammatory disease (PID)	7.62632e-2	6.03893e-1	56	10365
Esophagus_Muscularis	X703	4.23001	1.66760e-5	DTWD1	Diseases of nail, NOS	4.68099e-2	2.00381e+0	105	21732
Cells_Transformed_fibroblasts	X189.11	0.517186	1.67501e-5	DNAH7	Malignant neoplasm of kidney, except pelvis	2.25131e-1	1.23765e+0	460	22100
Heart_Atrial_Appendage	X568	-1.02533	1.70623e-5	MDGA1	Other disorders of peritoneum	1.68244e-1	7.81806e-1	326	19195
Thyroid	X277.7	-2.17679	1.72834e-5	RBBP8	Dysmetabolic syndrome X	1.56374e-2	7.28917e-1	161	22192
Thyroid	X250.21	-6.99605	1.73351e-5	ARHGAP15	Type 2 diabetes with ketoacidosis	1.22369e-2	5.89543e-1	51	13897
Testis	X172	-0.398539	1.73493e-5	DPEP1	Skin cancer	1.69543e-1	9.07715e-1	2120	19049
Heart_Left_Ventricle	X454	2.48121	1.73843e-5	OGFOD2	Varicose veins	1.88467e-2	1.24589e+0	328	15674
Nerve_Tibial	X568	-0.627159	1.74134e-5	MDGA1	Other disorders of peritoneum	2.32767e-1	7.85850e-1	326	19195
Skin_Sun_Exposed_Lower_leg	X562.1	0.72692	1.74309e-5	IQCE	Diverticulosis	6.06625e-2	1.12799e+0	1341	16064
Adipose_Visceral_Omentum	X364.1	-1.20559	1.76419e-5	BTBD1	Corneal opacity	1.24355e-1	6.32073e-1	83	20443
Thyroid	X752.11	1.73315	1.76457e-5	BCHE	Spina bifida	1.44246e-1	1.70672e+0	44	22702
Esophagus_Muscularis	X577.3	-1.55527	1.76466e-5	ARHGEF26	Cyst and pseudocyst of pancreas	4.02947e-2	7.36089e-1	145	22262
Breast_Mammary_Tissue	X586.1	3.49532	1.78762e-5	CHMP2B	Anatomical abnormatilies of kidney and ureters	2.98449e-2	1.67519e+0	79	15383
Testis	X371	0.845025	1.79439e-5	NR4A3	Inflammation of the eye	2.34058e-2	1.15880e+0	900	20046
Pancreas	X364.1	-1.75312	1.80849e-5	BTBD1	Corneal opacity	9.50772e-2	6.18725e-1	83	20443
Liver	X568	-0.542292	1.81237e-5	MDGA1	Other disorders of peritoneum	4.40955e-1	7.83311e-1	326	19195
Spleen	X495.2	0.541744	1.81430e-5	GSDMB	Asthma with exacerbation	4.83423e-1	1.32705e+0	242	17383
Pancreas	X568	-1.05333	1.81484e-5	MDGA1	Other disorders of peritoneum	1.44633e-1	7.82296e-1	326	19195
Artery_Aorta	X537	-1.15984	1.81599e-5	LILRB1	Other disorders of stomach and duodenum	9.15638e-2	8.12376e-1	432	19809
Spleen	X706.1	1.37462	1.82052e-5	BMP8B	Acne	6.03468e-2	1.36805e+0	179	20850
Lung	X695.41	-2.57093	1.84120e-5	ST3GAL4	Cutaneous lupus erythematosus	2.83962e-2	6.44161e-1	54	19768
Pituitary	X912	-4.78341	1.84176e-5	NKAIN4	Insect bite	1.41801e-1	6.23638e-1	82	22614
Cells_EBV-transformed_lymphocytes	X568	-0.70146	1.85933e-5	UCHL5	Other disorders of peritoneum	1.06709e-1	7.94374e-1	326	19195
Artery_Coronary	X359.2	-1.00743	1.86279e-5	BTN3A1	Myopathy	5.96971e-2	8.29136e-1	623	20339
Adipose_Subcutaneous	X196	-1.07944	1.86347e-5	TMEM30A	Radiotherapy	7.05302e-2	8.28396e-1	352	17297
Adipose_Subcutaneous	X701.3	3.81531	1.86913e-5	TMED2	Circumscribed scleroderma	4.98988e-2	1.96803e+0	34	20618
Skin_Sun_Exposed_Lower_leg	X250.13	1.61333	1.87116e-5	PRSS16	Type 1 diabetes with ophthalmic manifestations	3.23722e-2	1.38222e+0	157	13897
Liver	X155.1	-0.924032	1.88380e-5	GSDMB	Malignant neoplasm of liver, primary	4.98196e-2	7.36031e-1	234	20027
Testis	X261.4	0.486044	1.89701e-5	TMED2	Vitamin D deficiency	3.83062e-2	1.12567e+0	1484	16572
Breast_Mammary_Tissue	X568.1	-0.660451	1.89953e-5	MDGA1	Peritoneal adhesions (postoperative) (postinfection)	2.88486e-1	7.13398e-1	171	19195
Artery_Tibial	X537	-1.90404	1.89998e-5	LILRB1	Other disorders of stomach and duodenum	4.16369e-2	8.17089e-1	432	19809
Pancreas	X599.3	-0.550939	1.90556e-5	ST3GAL4	Dysuria	1.49140e-1	8.58028e-1	1001	16444
Brain_Cortex	X741.3	-0.968162	1.90651e-5	MYBPC2	Difficulty in walking	4.52320e-2	8.12938e-1	426	19267
Heart_Atrial_Appendage	X733.6	1.94622	1.91327e-5	LIN7B	Costochondritis	2.03879e-1	1.84379e+0	20	19040
Adrenal_Gland	X574	5.45091	1.91762e-5	NDRG1	Cholelithiasis and cholecystitis	7.46057e-2	1.15944e+0	1046	20771
Brain_Caudate_basal_ganglia	X323	-4.30969	1.94036e-5	RAD51C	Encephalitis	4.16076e-2	5.88437e-1	52	22760
Esophagus_Muscularis	X264.3	-6.31896	1.94073e-5	DGKD	Delayed milestones	1.59907e-2	7.05883e-1	67	16572
Lung	X286.8	2.07794	1.94967e-5	SCYL3	Hypercoagulable state	2.21355e-2	1.34800e+0	197	15873
Uterus	X444.2	1.15564	1.97136e-5	NCF2	Embolism and thrombosis of abdominal aorta	1.14597e-1	1.79639e+0	51	16965
Lung	X577	-0.931509	1.97570e-5	CAPG	Diseases of pancreas	2.67700e-2	8.46490e-1	633	22262
Spleen	X300	-0.203278	1.97888e-5	MRPS10	Anxiety, phobic and dissociative disorders	2.59296e-1	9.18041e-1	3049	14456
Brain_Cortex	X575.7	-1.02423	1.97894e-5	KATNAL1	Other disorders of gallbladder	2.02397e-1	6.25148e-1	97	20771
Prostate	X270.3	0.648297	1.99544e-5	MRPS10	Disorders of plasma protein metabolism	2.16010e-1	1.28276e+0	353	21469
Prostate	X939	0.621488	1.99851e-5	ARG2	Atopic/contact dermatitis due to other or unspecified	6.44749e-2	1.15099e+0	1079	18931
Brain_Nucleus_accumbens_basal_ganglia	X187.2	2.2763	1.99852e-5	TSPAN32	Malignant neoplasm of testis	7.79344e-2	1.84285e+0	35	10494
Brain_Caudate_basal_ganglia	X871.1	2.42879	1.99910e-5	PIK3C3	Open wound of hand except finger(s)	5.07973e-2	1.45029e+0	101	19977
Breast_Mammary_Tissue	X627.2	0.411091	2.00212e-5	BCAT1	Symptomatic menopause	6.09758e-2	1.15043e+0	996	7985
Skin_Sun_Exposed_Lower_leg	X560.1	0.778363	2.00363e-5	ANKRD24	Paralytic ileus	9.69115e-2	1.20894e+0	426	16064
Brain_Hippocampus	X70	-0.532273	2.00515e-5	DHODH	Viral hepatitis	1.23085e-1	8.44404e-1	626	19087
Heart_Atrial_Appendage	X782.3	-0.305818	2.02904e-5	P2RX3	Edema	1.61055e-1	9.12857e-1	2801	17828
Skin_Sun_Exposed_Lower_leg	X795.8	-3.8603	2.03922e-5	PYCARD	Abnormal tumor markers	1.98847e-2	8.26556e-1	140	22923
Cells_EBV-transformed_lymphocytes	X800.2	0.669358	2.04103e-5	STIM2	Fracture of unspecified part of femur	3.90335e-1	1.38866e+0	208	19279
Vagina	X370	-0.741293	2.04810e-5	HSD17B14	Keratitis	1.32485e-1	8.13306e-1	368	20046
Muscle_Skeletal	X686	0.987646	2.05508e-5	RNF13	Other local infections of skin and subcutaneous tissue	3.63996e-2	1.22314e+0	411	18720
Cells_EBV-transformed_lymphocytes	X766	-0.919279	2.05807e-5	CCDC114	Neuralgia, neuritis, and radiculitis NOS	1.21611e-1	8.42911e-1	611	20431
Esophagus_Mucosa	X378	-3.53642	2.06063e-5	PIGQ	Strabismus and other disorders of binocular eye movements	1.33027e-2	7.47403e-1	216	20059
Thyroid	X724.1	-3.12745	2.06412e-5	EFNB3	Disorders of sacrum	1.95967e-1	5.28383e-1	20	17801
Esophagus_Muscularis	X568.1	-0.569463	2.07123e-5	MDGA1	Peritoneal adhesions (postoperative) (postinfection)	4.30012e-1	7.12355e-1	171	19195
Lung	X840.1	-1.56032	2.07219e-5	CUL7	Muscle/tendon sprain	1.41798e-1	6.81728e-1	47	20163
Lung	X704.8	1.34673	2.08106e-5	BRAT1	Other specified diseases of hair and hair follicles	1.28012e-1	1.31260e+0	133	21732
Heart_Atrial_Appendage	X359	-1.04555	2.09086e-5	FBXO9	Muscular dystrophies and other myopathies	6.06439e-2	8.34858e-1	638	20339
Vagina	X713	1.1908	2.10418e-5	KIAA0391	Arthropathy associated with other disorders classified elsewhere	1.11290e-1	1.49543e+0	118	18237
Brain_Frontal_Cortex_BA9	X270.21	2.51097	2.12106e-5	UCHL5	Disorders of urea cycle metabolism	7.29997e-2	2.13945e+0	29	21469
Testis	X411.2	-0.240975	2.12583e-5	PALD1	Myocardial infarction	2.31493e-1	8.99716e-1	2512	13196
Brain_Anterior_cingulate_cortex_BA24	X280.1	0.189194	2.14884e-5	SIKE1	Iron deficiency anemias, unspecified or not due to blood loss	1.62875e-1	1.13813e+0	1170	13144
Brain_Cortex	X334	1.19172	2.14959e-5	LIN7B	Degenerative disease of the spinal cord	5.39338e-2	1.28470e+0	253	17257
Thyroid	X220	2.82772	2.15270e-5	LIN7B	Benign neoplasm of ovary	4.66925e-2	1.44461e+0	61	9066
Whole_Blood	X276	-0.330579	2.15604e-5	PHACTR2	Disorders of fluid, electrolyte, and acid-base balance	2.48369e-2	9.38014e-1	7382	13027
Heart_Atrial_Appendage	X819	0.920118	2.15911e-5	KATNAL1	Skull and face fracture and other intercranial injury	4.49376e-2	1.26088e+0	364	22261
Brain_Frontal_Cortex_BA9	X293	1.75368	2.16439e-5	WRAP73	Symptoms involving head and neck	1.08499e-1	2.08086e+0	39	21545
Adipose_Subcutaneous	X614.3	2.4407	2.16485e-5	DICER1	Pelvic inflammatory disease (PID)	9.26547e-2	1.70672e+0	56	10365
Esophagus_Muscularis	X527.2	19.9342	2.16656e-5	CTCF	Sialoadenitis	2.72911e-2	1.39563e+0	64	21574
Heart_Atrial_Appendage	X244.2	-0.735188	2.16840e-5	ESRRB	Acquired hypothyroidism	1.01764e-1	7.58170e-1	174	17866
Small_Intestine_Terminal_Ileum	X568	-0.428897	2.17397e-5	MDGA1	Other disorders of peritoneum	5.37377e-1	7.84583e-1	326	19195
Brain_Putamen_basal_ganglia	X599.6	1.87103	2.17572e-5	ETF1	Oliguria and anuria	7.54404e-2	1.47703e+0	90	16444
Brain_Nucleus_accumbens_basal_ganglia	X249	-1.65743	2.18177e-5	POLR2E	Secondary diabetes mellitus	1.57429e-1	6.76049e-1	166	13897
Lung	X296.1	-0.759525	2.18429e-5	CEP170B	Bipolar	8.97478e-2	8.14714e-1	485	14456
Colon_Transverse	X227	1.01954	2.19637e-5	ECHDC1	Benign neoplasm of other endocrine glands and related structures	1.36150e-1	1.31922e+0	211	22392
Esophagus_Mucosa	X394.1	1.11414	2.20194e-5	NIPAL2	Mitral valve stenosis and aortic valve stenosis	3.14734e-2	1.29719e+0	250	16709
Adipose_Subcutaneous	X530.12	5.31528	2.20679e-5	PALD1	Ulcer of esophagus	1.15210e-2	1.32814e+0	63	13499
Esophagus_Mucosa	X430.1	-2.93874	2.20956e-5	PYCARD	Subarachnoid hemorrhage	6.98489e-2	8.51670e-1	160	17383
Pituitary	X871.1	2.20686	2.21290e-5	CLCN7	Open wound of hand except finger(s)	4.65917e-2	1.47300e+0	101	19977
Cells_Transformed_fibroblasts	X573.4	-3.00412	2.21391e-5	CNR1	Acute and subacute necrosis of liver	2.35585e-2	6.82995e-1	119	16784
Lung	X401.2	0.490456	2.22048e-5	NSL1	Hypertensive heart and/or renal disease	2.59590e-2	1.10061e+0	3283	7812
Vagina	X590	-0.976559	2.22109e-5	ZNF14	Pyelonephritis	1.74293e-1	8.09425e-1	396	16050
