tissue	phecode	beta	p-value	gene	trait	r2	no of cases	no of controls
Skin-NotSunExposed-Suprapubic	X337.1	-23.3529	5.88719e-6	AVIL	Peripheral autonomic neuropathy	5.19773e-3	48	6544
Esophagus-GastroesophagealJunction	X969	-3.37728	5.93936e-6	ATP7B	Poisoning by psychotropic agents	3.00541e-1	25	6561
Brain-Hippocampus	X204.22	-5.31717	5.94690e-6	C10orf35	Myeloid leukemia, chronic	2.93369e-3	48	8016
Brain-CerebellarHemisphere	X754	15.5702	6.07987e-6	C2orf69	Congenital musculoskeletal deformities of spine	1.43008e-2	34	8697
AdrenalGland	X728.1	-59.1635	6.10800e-6	ANXA9	Muscular calcification and ossification	2.68930e-3	20	6730
Testis	X758.1	-2.96362	6.12779e-6	ARHGAP18	Chromosomal anomalies	1.53694e-2	21	8947
Brain-Putamen-basalganglia	X189.12	41.4363	6.14403e-6	BBS1	Malignant neoplasm of renal pelvis	5.82915e-2	51	8503
Colon-Transverse	X259.1	4.51229	6.17391e-6	ATP6V0D1	Nonspecific abnormal results of other endocrine function study	1.21951e-2	33	7558
Ovary	X513.8	-0.693492	6.20383e-6	C2orf66	Disorders of diaphragm	3.12367e-2	33	7861
Heart-AtrialAppendage	X841	-6.17442	6.20546e-6	CACHD1	Sprains and strains of back and neck	5.53932e-2	250	7712
Liver	X444.2	-0.184432	6.31739e-6	ATP6V1F	Embolism and thrombosis of abdominal aorta	5.22299e-2	30	6676
Breast-MammaryTissue	X653	-6.25433	6.33979e-6	BAZ2A	Problems associated with amniotic cavity and membranes	1.61107e-2	33	9066
Colon-Transverse	X340.1	-6.3563	6.33988e-6	AKR7A2	Migrain with aura	7.76016e-3	44	8495
Spleen	X691	5.23136	6.36712e-6	ANKRD36	Congenital anomalies of skin	4.67127e-3	41	7590
Nerve-Tibial	X574.12	1.90633	6.38066e-6	BOD1L1	Cholelithiasis with other cholecystitis	1.28296e-1	51	8056
Breast-MammaryTissue	X539	16.7543	6.44060e-6	C1orf21	Bariatric surgery	8.32857e-3	157	8939
Testis	X362.29	-0.844598	6.44727e-6	ARMS2	Macular degeneration (senile) of retina NOS	4.20083e-1	92	7724
Brain-Cerebellum	X473	-0.104176	6.46297e-6	ACKR2	Diseases of the larynx and vocal cords	5.74370e-2	311	6193
Spleen	X728	-19.4615	6.46311e-6	C16orf70	Disorders of muscle, ligament, and fascia	2.80835e-3	27	6730
SmallIntestine-TerminalIleum	X278.3	-0.0206869	6.47959e-6	BICD2	Localized adiposity	4.69428e-3	49	6887
Thyroid	X705.1	-5.10861	6.53620e-6	ADM2	Dyshidrosis	2.49268e-2	20	8052
Brain-Cortex	X159.3	-3.06262	6.55588e-6	BAP1	Malignant neoplasm of gallbladder and extrahepatic bile ducts	1.10046e-1	34	8073
Esophagus-GastroesophagealJunction	X276.11	11.1237	6.56177e-6	ATXN2L	Hyperosmolality and/or hypernatremia	7.00525e-3	150	4600
Brain-CerebellarHemisphere	X520	1.37167	6.56970e-6	CALCOCO2	Disorders of tooth development	2.64920e-1	46	8243
Esophagus-Mucosa	X458.9	0.608438	6.59207e-6	CALML5	Hypotension NOS	1.69438e-1	906	6597
Brain-FrontalCortex-BA9	X375.1	1.90293	6.62413e-6	ATPIF1	Dry eyes	1.67456e-2	233	7801
Skin-SunExposed-Lowerleg	X613.5	4.37431	6.68334e-6	BPNT1	Mastodynia	4.27637e-2	52	8018
Ovary	X366	-0.822504	6.76673e-6	B4GALNT3	Cataract	2.28476e-2	965	7805
Stomach	X278.3	66.3963	6.86939e-6	ANKRD11	Localized adiposity	3.73247e-2	49	6887
Brain-Cortex	X250.23	2.81114	6.92205e-6	ACER3	Type 2 diabetes with ophthalmic manifestations	2.21438e-3	225	4936
Colon-Transverse	X276.42	38.2481	6.94016e-6	ARL5C	Alkalosis	4.57234e-2	109	4600
Brain-Nucleusaccumbens-basalganglia	X526.9	6.22093	6.99006e-6	ADH7	Jaw disease NOS	5.66647e-2	38	8243
Liver	X220	16.3523	7.03399e-6	C4orf22	Benign neoplasm of ovary	6.18566e-3	32	8547
Breast-MammaryTissue	X253.5	6.83921	7.06573e-6	CAPZB	Pituitary dwarfism	1.35384e-2	28	7558
Brain-CerebellarHemisphere	X597	1.46213	7.11902e-6	ADRA1B	Other disorders of urethra and urinary tract	1.71224e-2	214	8074
Cells-EBV-transformedlymphocytes	X596.1	6.2197	7.13348e-6	ANO10	Bladder neck obstruction	1.41312e-1	51	8074
AdrenalGland	X795	-32.1128	7.19021e-6	ALG6	Other and nonspecific abnormal cytological, histological and immunological findings	6.84055e-2	54	8967
Brain-Cerebellum	X473.4	-0.120324	7.19784e-6	ACKR2	Voice disturbance	5.74370e-2	201	6193
Colon-Transverse	X172.21	10.7632	7.21573e-6	CA12	Basal cell carcinoma (new)	1.04214e-2	104	7391
Artery-Aorta	X366	-0.354827	7.22240e-6	B4GALNT3	Cataract	3.15851e-1	965	7805
Liver	X711	0.560572	7.27946e-6	ARHGEF28	Arthropathy associated with infections	2.08139e-1	108	7311
Stomach	X604.1	8.56918	7.28518e-6	ATP13A4	Redundant prepuce and phimosis/BXO	6.35615e-3	31	8178
AdrenalGland	X597.2	-2.99508	7.28685e-6	ASS1	Urinary complications NEC	7.53207e-3	49	8074
Heart-LeftVentricle	X401.2	-1.717	7.28883e-6	ATP2A2	Hypertensive heart and/or renal disease	1.31931e-3	1448	3058
Esophagus-GastroesophagealJunction	X367.8	0.929216	7.30696e-6	C19orf57	Hypermetropia	4.07302e-2	24	8335
Brain-Cortex	X709.2	-11.0994	7.33425e-6	ASF1A	Sicca syndrome	2.30253e-3	44	8930
Spleen	X389.4	0.980653	7.34897e-6	AKT1S1	Tinnitus	2.37807e-1	105	7899
Artery-Aorta	X420.2	1.14571	7.35778e-6	CAPN8	Pericarditis	6.15696e-2	172	7787
Esophagus-GastroesophagealJunction	X480.12	-4.06088	7.36907e-6	CAPZA2	Pseudomonal pneumonia	1.17600e-3	105	6217
Cells-EBV-transformedlymphocytes	X574.12	1.53625	7.37698e-6	BOD1L1	Cholelithiasis with other cholecystitis	1.24632e-1	51	8056
Nerve-Tibial	X512.9	1.45557	7.41147e-6	CASP3	Other dyspnea	3.19124e-3	1927	3702
Muscle-Skeletal	X646	-35.3304	7.45305e-6	BAX	Other complications of pregnancy NEC	1.25759e-2	22	9082
Spleen	X377.3	-2.88973	7.45881e-6	C1QTNF2	Optic neuritis/neuropathy	4.21052e-2	41	7801
Thyroid	X433.12	2.67062	7.57180e-6	C8orf44	Cerebral atherosclerosis	9.19658e-3	112	6934
Cells-EBV-transformedlymphocytes	X495.2	-3.24729	7.59186e-6	CADM4	Asthma with exacerbation	2.67011e-3	105	6820
Brain-Caudate-basalganglia	X212	10.8625	7.60286e-6	AGPAT5	Benign neoplasm of respiratory and intrathoracic organs	1.37245e-2	45	8872
Spleen	X346.1	-2.85978	7.63108e-6	ATP5J2	Nonspecific abnormal findings on radiological and other examination of skull and head	6.21333e-2	30	6544
Brain-Cerebellum	X856	1.54871	7.70685e-6	AMN	Vascular complications of surgery and medical procedures	1.73885e-1	21	6685
Spleen	X578.1	-1.61402	7.71911e-6	ACER2	Hematemesis	8.14129e-2	87	6905
Brain-Hypothalamus	X430.3	5.83825	7.75401e-6	CAPN8	Subdural hemorrhage	2.03431e-3	79	6934
Colon-Sigmoid	X306	-16.3399	7.77449e-6	CALM1	Other mental disorder	3.23618e-2	34	5392
Colon-Sigmoid	X580.12	-4.36011	7.86678e-6	ARF4	Non-proliferative glomerulonephritis	1.17257e-3	40	5644
Colon-Sigmoid	X189.12	0.0172734	7.87334e-6	BCL11A	Malignant neoplasm of renal pelvis	1.09033e-1	51	8503
Brain-Hippocampus	X291.4	5.63437	7.91212e-6	ACTB	Specific nonpsychotic mental disorders due to brain damage	1.43490e-2	22	6654
Adipose-Subcutaneous	X110	-3.23387	7.91223e-6	CAMKK1	Dermatophytosis / Dermatomycosis	1.68917e-3	398	7391
Brain-CerebellarHemisphere	X451.2	1.96688	7.95278e-6	ARHGEF37	Phlebitis and thrombophlebitis of lower extremities	2.86527e-2	88	6144
Esophagus-GastroesophagealJunction	X747.13	6.18332	8.08488e-6	BLMH	Congenital anomalies of great vessels	1.66623e-3	58	8634
Skin-SunExposed-Lowerleg	X381.2	4.67229	8.09049e-6	ATP2A2	Eustachian tube disorders	1.30525e-3	170	8088
Brain-Anteriorcingulatecortex-BA24	X705.1	0.175209	8.10286e-6	AKR1B10	Dyshidrosis	1.94458e-1	20	8052
Brain-Anteriorcingulatecortex-BA24	X580.32	0.041702	8.10381e-6	ADAM8	Nephritis and nephropathy with pathological lesion	5.64247e-2	114	5644
Brain-CerebellarHemisphere	X264.9	28.105	8.14677e-6	ACTL6B	Lack of normal physiological development, unspecified	4.30841e-2	39	6138
Pancreas	X741.3	-3.02692	8.19066e-6	BCKDK	Difficulty in walking	4.53951e-3	166	7526
Artery-Coronary	X362.26	-1.40528	8.21312e-6	B4GALNT3	Macular puckering of retina	1.83136e-1	81	7724
Breast-MammaryTissue	X627.5	36.5011	8.24148e-6	C20orf197	Premature menopause and other ovarian failure	7.40222e-3	24	7657
Heart-AtrialAppendage	X557	-4.11985	8.27296e-6	APOL3	Intestinal malabsorption (non-celiac)	4.42462e-3	72	5956
Brain-Cortex	X741.4	-1.51871	8.27664e-6	ANAPC1	Joint effusions	1.60502e-2	159	7526
Skin-SunExposed-Lowerleg	X530	1.36237	8.31654e-6	BICD2	Diseases of esophagus	5.43677e-3	2242	5130
Spleen	X185	1.97246	8.36162e-6	ANXA10	Cancer of prostate	1.08517e-3	398	7682
Liver	X558	-0.608927	8.38602e-6	ATXN7L2	Noninfectious gastroenteritis	2.95974e-1	328	5956
Nerve-Tibial	X78	-1.33464	8.45711e-6	C5orf30	Viral warts & HPV	3.16822e-2	201	7233
Brain-Hypothalamus	X149.9	30.2031	8.47224e-6	C14orf159	Cancer of of nasal cavities	1.28706e-2	28	8031
Brain-CerebellarHemisphere	X184.11	12.6866	8.49065e-6	CALM1	Malignant neoplasm of ovary	3.39540e-2	85	7989
Esophagus-Muscularis	X315.2	-19.8757	8.56514e-6	ALDH1L2	Speech and language disorder	6.02658e-3	21	8646
Stomach	X366.2	-14.6212	8.57289e-6	AKNA	Senile cataract	2.58881e-3	824	7805
Esophagus-GastroesophagealJunction	X250.41	2.99457	8.64887e-6	CABIN1	Impaired fasting glucose	6.32252e-2	83	4936
Testis	X278.3	11.1089	8.66463e-6	CALCOCO1	Localized adiposity	1.41714e-3	49	6887
Esophagus-GastroesophagealJunction	X300.11	-1.32899	8.66944e-6	AGAP4	Generalized anxiety disorder	9.20272e-2	118	5392
Brain-Anteriorcingulatecortex-BA24	X619.2	-0.00688121	8.68695e-6	BCAR1	Disorders of uterus, NEC	1.41400e-3	23	8667
Pancreas	X242.2	-3.10792	8.71420e-6	AGBL5	Toxic multinodular goiter	4.23735e-3	27	7001
Skin-NotSunExposed-Suprapubic	X274.1	-1.17928	8.86981e-6	C19orf54	Gout	1.98838e-2	559	8288
Pancreas	X374.3	10.136	8.90631e-6	BVES	Ptosis of eyelid	4.96948e-2	75	7798
Esophagus-Muscularis	X701.1	8.15329	8.92749e-6	ATF7IP	Keratoderma, acquired	1.47224e-3	29	7128
Brain-Hippocampus	X394.2	-5.8431	8.96554e-6	ALDH3B1	Mitral valve disease	1.62486e-3	83	7079
Brain-FrontalCortex-BA9	X444.2	-4.03425	8.98010e-6	ATIC	Embolism and thrombosis of abdominal aorta	1.00409e-1	30	6676
Artery-Tibial	X626.12	0.847695	8.98918e-6	ACSM1	Excessive or frequent menstruation	3.04010e-1	124	7657
Esophagus-GastroesophagealJunction	X292	7.27249	9.04458e-6	ACSS3	Neurological disorders	3.96117e-2	1142	6654
Brain-Hippocampus	X250.12	4.33185	9.07096e-6	C2	Type 1 diabetes with renal manifestations	1.10096e-3	137	4936
Esophagus-Muscularis	X792.1	1.55051	9.07554e-6	C10orf35	Papanicolaou smear of cervix or vagina with atypical squamous cells	6.72691e-2	80	8724
Brain-CerebellarHemisphere	X276	-0.521252	9.13481e-6	ACOT4	Disorders of fluid, electrolyte, and acid-base balance	3.34855e-2	3525	4600
Colon-Transverse	X800.4	9.18087	9.14987e-6	CADM4	Fracture of patella	3.99824e-3	59	7283
Brain-Cortex	X250.11	10.7755	9.18524e-6	BRD2	Type 1 diabetes with ketoacidosis	3.08445e-2	48	4936
AdrenalGland	X454.11	-37.437	9.19737e-6	ALG6	Varicose veins of lower extremity, symptomtic	6.84055e-2	66	6144
Brain-Anteriorcingulatecortex-BA24	X528.11	0.129178	9.20401e-6	AKR1B10	Stomatitis and mucositis (ulcerative)	1.94458e-1	74	8257
Skin-SunExposed-Lowerleg	X529	3.19163	9.21881e-6	ACO1	Diseases and other conditions of the tongue	1.82901e-2	22	8257
Thyroid	X695.7	4.66618	9.24770e-6	ATP5B	Prurigo and Lichen	1.73535e-2	23	7590
Heart-AtrialAppendage	X81.12	2.71885	9.27285e-6	C10orf71	Chronic graft-versus-host disease	4.22599e-2	24	7508
Brain-Hippocampus	X761	0.873195	9.32345e-6	CAPN3	Cervicalgia	4.35815e-2	725	7799
Brain-Hypothalamus	X907	0.0783517	9.34381e-6	BEST1	Injuries to the nervous system	1.11135e-3	79	8942
Muscle-Skeletal	X385	-13.9968	9.35226e-6	ADRB2	Other disorders of middle ear and mastoid	5.98115e-3	38	8088
Brain-Putamen-basalganglia	X577	1.42632	9.35362e-6	CAPZA2	Diseases of pancreas	7.32238e-2	337	8624
Heart-AtrialAppendage	X501	-0.833202	9.36202e-6	ATRAID	Pneumonitis due to inhalation of food or vomitus	1.44607e-1	210	5061
Pancreas	X170.2	4.44571	9.39927e-6	AGAP1	Cancer of connective tissue	1.85948e-3	175	8731
Spleen	X499	1.93073	9.45266e-6	CAPZA2	Cystic fibrosis	4.96911e-2	71	9033
Colon-Sigmoid	X528.11	-6.35758	9.51794e-6	CAMK2G	Stomatitis and mucositis (ulcerative)	2.55590e-3	74	8257
Esophagus-Mucosa	X250.12	3.24285	9.53620e-6	ATP5B	Type 1 diabetes with renal manifestations	2.97454e-2	137	4936
Brain-FrontalCortex-BA9	X344	1.14271	9.54301e-6	B4GALNT2	Other paralytic syndromes	9.11347e-3	121	6544
Esophagus-GastroesophagealJunction	X580.2	-21.6232	9.56321e-6	CARD8	Nephrotic syndrome without mention of glomerulonephritis	1.65620e-2	72	5644
Skin-NotSunExposed-Suprapubic	X358	2.40622	9.64770e-6	ANAPC15	Myoneural disorders	6.94667e-2	23	7798
Skin-NotSunExposed-Suprapubic	X276.42	2.10255	9.66360e-6	BIRC2	Alkalosis	7.05931e-2	109	4600
Brain-Caudate-basalganglia	X758	-16.1946	9.68150e-6	BEGAIN	Chromosomal anomalies and genetic disorders	3.40703e-2	31	8947
Lung	X443.1	5.26329	9.79400e-6	C11orf74	Raynaud's syndrome	1.80428e-2	45	6676
Brain-Hypothalamus	X385.3	3.13676	9.82745e-6	ARPP21	Cholesteatoma	2.63692e-2	32	8088
Stomach	X634	1.64335	9.86315e-6	C7orf72	Miscarriage; stillbirth	7.10313e-2	31	8943
Pituitary	X588.2	3.58578	9.87161e-6	BBS1	Secondary hyperparathyroidism (of renal origin)	6.79534e-3	77	5644
Liver	X528	-0.291899	9.88264e-6	C4orf26	Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	7.47623e-2	386	8257
Brain-Hippocampus	X41.4	-0.984578	9.88675e-6	ADO	E. coli	3.20977e-2	345	6607
Brain-Hippocampus	X433.6	0.778085	9.89526e-6	ATP6V1F	Acute, but ill-defined cerebrovascular disease	1.17441e-1	207	6934
Artery-Coronary	X701.1	-5.30409e15	0.00000e+0	CDH2	Keratoderma, acquired	5.11696e-3	29	7128
Artery-Coronary	X700	-2.28135e15	0.00000e+0	CDH2	Corns and callosities	5.11696e-3	52	7128
Artery-Coronary	X790.8	-2.54438e15	0.00000e+0	CDH2	Elevated C-reactive protein (CRP)	5.11696e-3	36	7554
Artery-Coronary	X758.1	2.12723e16	0.00000e+0	DGKZ	Chromosomal anomalies	1.50668e-2	21	8947
Artery-Tibial	X967	9.78486e15	0.00000e+0	CYP3A7	Adverse effects of sedatives or other central nervous system depressants and anesthetics	6.68222e-3	40	6561
Brain-FrontalCortex-BA9	X286	-1.04509e16	0.00000e+0	EFNA1	Coagulation defects	7.84533e-3	794	5981
Brain-FrontalCortex-BA9	X740.3	-9.97469e15	0.00000e+0	EFNA1	Osteoarthrosis involving more than one site, but not specified as generalized	7.84533e-3	25	6692
Heart-LeftVentricle	X499	13.627	0.00000e+0	CFTR	Cystic fibrosis	2.49584e-2	71	9033
Nerve-Tibial	X378.5	2.24474e15	0.00000e+0	CHMP3	Paralytic strabismus	6.60719e-3	28	7801
Nerve-Tibial	X509.8	2.746e16	0.00000e+0	EIF4G3	Dependence on respirator [Ventilator] or supplemental oxygen	1.98789e-3	188	5061
Stomach	X524.3	1.14687e16	0.00000e+0	ERGIC3	Anomalies of tooth position/malocclusion	2.20133e-2	27	8243
Stomach	X524	1.40347e16	0.00000e+0	ERGIC3	Dentofacial anomalies, including malocclusion	2.20133e-2	28	8243
Stomach	X592.13	1.52747e16	0.00000e+0	ERGIC3	Chronic interstitial cystitis	2.20133e-2	26	5793
Stomach	X961.1	9.62658e15	0.00000e+0	ERGIC3	Poisoning/allergy of sulfonamides	2.20133e-2	24	6561
Stomach	X977	1.35151e16	0.00000e+0	ERGIC3	Personal history of allergy to medicinal agents	2.20133e-2	30	6561
Brain-Hypothalamus	X499	-18.0548	2.32188e-39	CFTR	Cystic fibrosis	1.05088e-2	71	9033
Heart-LeftVentricle	X480.12	8.24553	5.37198e-39	CFTR	Pseudomonal pneumonia	2.49584e-2	105	6217
Brain-Hippocampus	X499	-3.37548	3.24891e-35	CFTR	Cystic fibrosis	7.35334e-2	71	9033
Breast-MammaryTissue	X499	15.4408	1.92327e-33	CAV1	Cystic fibrosis	5.80974e-3	71	9033
Heart-LeftVentricle	X496.3	7.07776	2.04417e-32	CFTR	Bronchiectasis	2.49584e-2	124	6820
Heart-LeftVentricle	X277	7.63546	8.39135e-30	CFTR	Other disorders of metabolism	2.49584e-2	88	8608
Lung	X499	71.2434	1.71614e-29	CAV1	Cystic fibrosis	5.64784e-3	71	9033
Brain-Putamen-basalganglia	X499	-7.42969	3.15733e-28	CTTNBP2	Cystic fibrosis	1.02189e-2	71	9033
Heart-LeftVentricle	X480.13	7.75116	4.15949e-27	CFTR	MRSA pneumonia	2.49584e-2	82	6217
Brain-Hypothalamus	X480.12	-9.08943	1.50553e-26	CFTR	Pseudomonal pneumonia	1.05088e-2	105	6217
Breast-MammaryTissue	X480.12	9.27888	4.37800e-23	CAV1	Pseudomonal pneumonia	5.80974e-3	105	6217
Heart-LeftVentricle	X480.5	7.41777	2.12659e-21	CFTR	Bronchopneumonia and lung abscess	2.49584e-2	71	6217
Heart-LeftVentricle	X577	3.99663	2.46406e-21	CFTR	Diseases of pancreas	2.49584e-2	337	8624
Brain-Hypothalamus	X480.13	-8.99229	1.26974e-20	CFTR	MRSA pneumonia	1.05088e-2	82	6217
Brain-Hypothalamus	X499	-14.1242	1.74048e-19	CTTNBP2	Cystic fibrosis	6.90549e-3	71	9033
Brain-Hippocampus	X480.12	-2.07979	2.79010e-19	CFTR	Pseudomonal pneumonia	7.35334e-2	105	6217
Brain-Hypothalamus	X496.3	-6.84475	4.85982e-19	CFTR	Bronchiectasis	1.05088e-2	124	6820
Heart-LeftVentricle	X480.1	3.67434	4.93678e-19	CFTR	Bacterial pneumonia	2.49584e-2	385	6217
Brain-Putamen-basalganglia	X480.12	-5.23942	5.59515e-18	CTTNBP2	Pseudomonal pneumonia	1.02189e-2	105	6217
Brain-Hypothalamus	X277	-7.66519	1.74755e-17	CFTR	Other disorders of metabolism	1.05088e-2	88	8608
Brain-Hypothalamus	X577	-4.09237	2.14543e-17	CFTR	Diseases of pancreas	1.05088e-2	337	8624
Lung	X480.12	34.5081	2.27510e-17	CAV1	Pseudomonal pneumonia	5.64784e-3	105	6217
Breast-MammaryTissue	X277	7.72557	2.21113e-14	CAV1	Other disorders of metabolism	5.80974e-3	88	8608
Breast-MammaryTissue	X496.3	6.56829	3.49418e-14	CAV1	Bronchiectasis	5.80974e-3	124	6820
Lung	X480.13	34.5105	4.86594e-14	CAV1	MRSA pneumonia	5.64784e-3	82	6217
Brain-Hippocampus	X480.13	-1.92781	8.01985e-14	CFTR	MRSA pneumonia	7.35334e-2	82	6217
Brain-Hypothalamus	X480.5	-7.70411	8.15796e-14	CFTR	Bronchopneumonia and lung abscess	1.05088e-2	71	6217
Heart-LeftVentricle	X475	2.72483	1.55897e-13	CFTR	Chronic sinusitis	2.49584e-2	589	6193
Lung	X496.3	26.8691	2.20400e-13	CAV1	Bronchiectasis	5.64784e-3	124	6820
Brain-Hippocampus	X496.3	-1.58608	2.60920e-13	CFTR	Bronchiectasis	7.35334e-2	124	6820
Heart-LeftVentricle	X260.22	5.79154	3.67170e-13	CFTR	Nutritional marasmus	2.49584e-2	72	6138
Lung	X577	16.418	4.45643e-13	CAV1	Diseases of pancreas	5.64784e-3	337	8624
Brain-Hypothalamus	X480.12	-8.07048	1.26628e-12	CTTNBP2	Pseudomonal pneumonia	6.90549e-3	105	6217
Heart-LeftVentricle	X264.2	5.68851	2.05943e-12	CFTR	Failure to thrive (childhood)	2.49584e-2	73	6138
Brain-Anteriorcingulatecortex-BA24	X250.12	2.29189	3.93267e-12	CFB	Type 1 diabetes with renal manifestations	5.19925e-2	137	4936
Lung	X277	29.6807	5.69705e-12	CAV1	Other disorders of metabolism	5.64784e-3	88	8608
Brain-Hypothalamus	X480.1	-3.2252	6.23034e-12	CFTR	Bacterial pneumonia	1.05088e-2	385	6217
Breast-MammaryTissue	X480.5	7.62727	2.18782e-11	CAV1	Bronchopneumonia and lung abscess	5.80974e-3	71	6217
Brain-Hippocampus	X277	-1.66289	3.85685e-11	CFTR	Other disorders of metabolism	7.35334e-2	88	8608
Heart-LeftVentricle	X249	5.03762	4.53488e-11	CFTR	Secondary diabetes mellitus	2.49584e-2	80	4936
Heart-AtrialAppendage	X499	3.09036	4.70613e-11	CTTNBP2	Cystic fibrosis	2.26920e-2	71	9033
Heart-LeftVentricle	X557	5.26148	5.57699e-11	CFTR	Intestinal malabsorption (non-celiac)	2.49584e-2	72	5956
Heart-LeftVentricle	X471	6.22969	6.62862e-11	CFTR	Nasal polyps	2.49584e-2	49	6193
Breast-MammaryTissue	X480.13	6.71523	2.69295e-10	CAV1	MRSA pneumonia	5.80974e-3	82	6217
AdrenalGland	X250.14	1.69915	3.09057e-10	COL11A2	Type 1 diabetes with neurological manifestations	8.02051e-2	168	4936
Heart-LeftVentricle	X594.2	131.433	3.19554e-10	DUOXA2	Calculus of lower urinary tract	5.78335e-2	31	8065
Heart-LeftVentricle	X264	3.97204	4.65120e-10	CFTR	Lack of normal physiological development	2.49584e-2	147	6138
Heart-LeftVentricle	X510.2	5.05666	5.13579e-10	CFTR	Lung transplant	2.49584e-2	74	7177
Heart-AtrialAppendage	X228	23.8403	5.83495e-10	CDK12	Hemangioma and lymphangioma, any site	7.67197e-2	60	8746
Brain-Putamen-basalganglia	X277	-3.93375	7.49602e-10	CTTNBP2	Other disorders of metabolism	1.02189e-2	88	8608
AdrenalGland	X250.12	1.81689	8.49242e-10	COL11A2	Type 1 diabetes with renal manifestations	8.02051e-2	137	4936
Brain-Anteriorcingulatecortex-BA24	X250.13	2.36526	1.01270e-9	CFB	Type 1 diabetes with ophthalmic manifestations	5.19925e-2	98	4936
AdrenalGland	X250.13	2.04648	1.62285e-9	COL11A2	Type 1 diabetes with ophthalmic manifestations	8.02051e-2	98	4936
Pituitary	X250.12	4.78874	1.73594e-9	CFB	Type 1 diabetes with renal manifestations	4.09922e-3	137	4936
Brain-Cerebellum	X523.1	-0.133388	2.35090e-9	CDH15	Gingivitis	1.73598e-1	73	8243
AdrenalGland	X250.1	0.831259	3.15396e-9	COL11A2	Type 1 diabetes	8.02051e-2	816	4936
Brain-Hippocampus	X480.1	-0.841353	3.41482e-9	CFTR	Bacterial pneumonia	7.35334e-2	385	6217
Brain-Caudate-basalganglia	X520.2	70.5072	3.76657e-9	CD1C	Disturbances in tooth eruption	7.34873e-2	44	8243
Esophagus-Mucosa	X705.8	-28.6389	4.38658e-9	CPT1A	Hyperhidrosis	1.24451e-2	50	8052
Heart-LeftVentricle	X516.1	3.42259	4.57601e-9	CFTR	Hemoptysis	2.49584e-2	182	8645
Brain-Anteriorcingulatecortex-BA24	X250.7	1.48705	4.61606e-9	CFB	Diabetic retinopathy	5.19925e-2	274	4644
Brain-Hypothalamus	X249	-5.58667	4.99521e-9	CFTR	Secondary diabetes mellitus	1.05088e-2	80	4936
Brain-Caudate-basalganglia	X520	69.8191	5.10516e-9	CD1C	Disorders of tooth development	7.34873e-2	46	8243
Thyroid	X751.3	-22.0764	5.86474e-9	DDX19A	Obstructive genitourinary defect	1.39829e-2	34	8409
Brain-Putamen-basalganglia	X496.3	-3.35987	7.32534e-9	CTTNBP2	Bronchiectasis	1.02189e-2	124	6820
Brain-Anteriorcingulatecortex-BA24	X250.1	0.973748	8.36264e-9	CFB	Type 1 diabetes	5.19925e-2	816	4936
Heart-LeftVentricle	X516	3.09451	9.04388e-9	CFTR	Abnormal sputum	2.49584e-2	228	8645
Brain-Putamen-basalganglia	X480.13	-3.9645	1.13606e-8	CTTNBP2	MRSA pneumonia	1.02189e-2	82	6217
Breast-MammaryTissue	X480.1	3.12481	1.28806e-8	CAV1	Bacterial pneumonia	5.80974e-3	385	6217
Brain-Putamen-basalganglia	X480.5	-4.26042	1.30884e-8	CTTNBP2	Bronchopneumonia and lung abscess	1.02189e-2	71	6217
Brain-Hippocampus	X259.1	0.0990246	1.44698e-8	COX6C	Nonspecific abnormal results of other endocrine function study	1.65521e-1	33	7558
Breast-MammaryTissue	X577	3.23756	1.50418e-8	CAV1	Diseases of pancreas	5.80974e-3	337	8624
Brain-Hippocampus	X577	-0.834385	1.53131e-8	CFTR	Diseases of pancreas	7.35334e-2	337	8624
Brain-Hypothalamus	X260.22	-5.66	1.63351e-8	CFTR	Nutritional marasmus	1.05088e-2	72	6138
Lung	X480.5	27.307	2.09701e-8	CAV1	Bronchopneumonia and lung abscess	5.64784e-3	71	6217
Breast-MammaryTissue	X972	-2.05136	2.56407e-8	DHX29	Poisoning by agents primarily affecting the cardiovascular system	1.86849e-2	117	6561
Heart-AtrialAppendage	X228.1	24.8845	2.61369e-8	CDK12	Hemangioma of skin and subcutaneous tissue	7.67197e-2	40	8746
